Duration (in seconds),metadata_Browser,metadata_Version,metadata_Operating System,consentTime_Page Submit,consentTime_Click Count,id,idTime_First Click,idTime_Last Click,idTime_Page Submit,idTime_Click Count,p1agree,p1time_First Click,p1time_Last Click,p1time_Page Submit,p1time_Click Count,p2agree,p2time_First Click,p2time_Last Click,p2time_Page Submit,p2time_Click Count,p3agree,p3time_First Click,p3time_Last Click,p3time_Page Submit,p3time_Click Count,p4agree,p4time_First Click,p4time_Last Click,p4time_Page Submit,p4time_Click Count,p5agree,p5time_First Click,p5time_Last Click,p5time_Page Submit,p5time_Click Count,p6agree,p6time_First Click,p6time_Last Click,p6time_Page Submit,p6time_Click Count,p7agree,p7time_First Click,p7time_Last Click,p7time_Page Submit,p7time_Click Count,p8agree,p8time_First Click,p8time_Last Click,p8time_Page Submit,p8time_Click Count,p9agree,p9time_First Click,p9time_Last Click,p9time_Page Submit,p9time_Click Count,p10agree,p10time_First Click,p10time_Last Click,p10time_Page Submit,p10time_Click Count,p11agree,p11time_First Click,p11time_Last Click,p11time_Page Submit,p11time_Click Count,p12agree,p12time_First Click,p12time_Last Click,p12time_Page Submit,p12time_Click Count,p13agree,p13time_First Click,p13time_Last Click,p13time_Page Submit,p13time_Click Count,p14agree,p14time_First Click,p14time_Last Click,p14time_Page Submit,p14time_Click Count,p15agree,p15time_First Click,p15time_Last Click,p15time_Page Submit,p15time_Click Count,p16agree,p16time_First Click,p16time_Last Click,p16time_Page Submit,p16time_Click Count,p17agree,p17time_First Click,p17time_Last Click,p17time_Page Submit,p17time_Click Count,p18agree,p18time_First Click,p18time_Last Click,p18time_Page Submit,p18time_Click Count,p19agree,p19time_First Click,p19time_Last Click,p19time_Page Submit,p19time_Click Count,p20agree,p20time_First Click,p20time_Last Click,p20time_Page Submit,p20time_Click Count,p21agree,p21time_First Click,p21time_Last Click,p21time_Page Submit,p21time_Click Count,p22agree,p22time_First Click,p22time_Last Click,p22time_Page Submit,p22time_Click Count,p23agree,p23time_First Click,p23time_Last Click,p23time_Page Submit,p23time_Click Count,p24agree,p24time_First Click,p24time_Last Click,p24time_Page Submit,p24time_Click Count,p25agree,p25time_First Click,p25time_Last Click,p25time_Page Submit,p25time_Click Count,p26agree,p26time_First Click,p26time_Last Click,p26time_Page Submit,p26time_Click Count,p27agree,p27time_First Click,p27time_Last Click,p27time_Page Submit,p27time_Click Count,p28agree,p28time_First Click,p28time_Last Click,p28time_Page Submit,p28time_Click Count,p29agree,p29time_First Click,p29time_Last Click,p29time_Page Submit,p29time_Click Count,p31agree,p31time_First Click,p31time_Last Click,p31time_Page Submit,p31time_Click Count,p32agree,p32time_First Click,p32time_Last Click,p32time_Page Submit,p32time_Click Count,p33agree,p33time_First Click,p33time_Last Click,p33time_Page Submit,p33time_Click Count,p34agree,p34time_First Click,p34time_Last Click,p34time_Page Submit,p34time_Click Count,p35agree,p35time_First Click,p35time_Last Click,p35time_Page Submit,p35time_Click Count,p36agree,p36time_First Click,p36time_Last Click,p36time_Page Submit,p36time_Click Count,p37agree,p37time_First Click,p37time_Last Click,p37time_Page Submit,p37time_Click Count,p38agree,p38time_First Click,p38time_Last Click,p38time_Page Submit,p38time_Click Count,p39agree,p39time_First Click,p39time_Last Click,p39time_Page Submit,p39time_Click Count,p40agree,p40time_First Click,p40time_Last Click,p40time_Page Submit,p40time_Click Count,p41agree,p41time_First Click,p41time_Last Click,p41time_Page Submit,p41time_Click Count,p42agree,p42time_First Click,p42time_Last Click,p42time_Page Submit,p42time_Click Count,p43agree,p43time_First Click,p43time_Last Click,p43time_Page Submit,p43time_Click Count,p44agree,p44time_First Click,p44time_Last Click,p44time_Page Submit,p44time_Click Count,p45agree,p45time_First Click,p45time_Last Click,p45time_Page Submit,p45time_Click Count,gotcha,gotchaTime_First Click,gotchaTime_Last Click,gotchaTime_Page Submit,gotchaTime_Click Count,c1agree,c1time_First Click,c1time_Last Click,c1time_Page Submit,c1time_Click Count,c2agree,c2time_First Click,c2time_Last Click,c2time_Page Submit,c2time_Click Count,c3agree,c3time_First Click,c3time_Last Click,c3time_Page Submit,c3time_Click Count,c4agree,c4time_First Click,c4time_Last Click,c4time_Page Submit,c4time_Click Count,c5agree,c5time_First Click,c5time_Last Click,c5time_Page Submit,c5time_Click Count,c6agree,c6time_First Click,c6time_Last Click,c6time_Page Submit,c6time_Click Count,c7agree,c7time_First Click,c7time_Last Click,c7time_Page Submit,c7time_Click Count,c8agree,c8time_First Click,c8time_Last Click,c8time_Page Submit,c8time_Click Count,c9agree,c9time_First Click,c9time_Last Click,c9time_Page Submit,c9time_Click Count,c10agree,c10time_First Click,c10time_Last Click,c10time_Page Submit,c10time_Click Count,c11agree,c11time_First Click,c11time_Last Click,c11time_Page Submit,c11time_Click Count,c12agree,c12time_First Click,c12time_Last Click,c12time_Page Submit,c12time_Click Count,c13agree,c13time_First Click,c13time_Last Click,c13time_Page Submit,c13time_Click Count,c14agree,c14time_First Click,c14time_Last Click,c14time_Page Submit,c14time_Click Count,c15agree,c15time_First Click,c15time_Last Click,c15time_Page Submit,c15time_Click Count,c16agree,c16time_First Click,c16time_Last Click,c16time_Page Submit,c16time_Click Count,c17agree,c17time_First Click,c17time_Last Click,c17time_Page Submit,c17time_Click Count,c18agree,c18time_First Click,c18time_Last Click,c18time_Page Submit,c18time_Click Count,c19agree,c19time_First Click,c19time_Last Click,c19time_Page Submit,c19time_Click Count,c20agree,c20time_First Click,c20time_Last Click,c20time_Page Submit,c20time_Click Count,c21agree,c21time_First Click,c21time_Last Click,c21time_Page Submit,c21time_Click Count,c22agree,c22time_First Click,c22time_Last Click,c22time_Page Submit,c22time_Click Count,c23agree,c23time_First Click,c23time_Last Click,c23time_Page Submit,c23time_Click Count,c24agree,c24time_First Click,c24time_Last Click,c24time_Page Submit,c24time_Click Count,c25agree,c25time_First Click,c25time_Last Click,c25time_Page Submit,c25time_Click Count,c26agree,c26time_First Click,c26time_Last Click,c26time_Page Submit,c26time_Click Count,c27agree,c27time_First Click,c27time_Last Click,c27time_Page Submit,c27time_Click Count,c28agree,c28time_First Click,c28time_Last Click,c28time_Page Submit,c28time_Click Count,c29agree,c29time_First Click,c29time_Last Click,c29time_Page Submit,c29time_Click Count,c30agree,c30time_First Click,c30time_Last Click,c30time_Page Submit,c30time_Click Count,c31agree,c31time_First Click,c31time_Last Click,c31time_Page Submit,c31time_Click Count,c32agree,c32time_First Click,c32time_Last Click,c32time_Page Submit,c32time_Click Count,c33agree,c33time_First Click,c33time_Last Click,c33time_Page Submit,c33time_Click Count,c34agree,c34time_First Click,c34time_Last Click,c34time_Page Submit,c34time_Click Count,c35agree,c35time_First Click,c35time_Last Click,c35time_Page Submit,c35time_Click Count,c36agree,c36time_First Click,c36time_Last Click,c36time_Page Submit,c36time_Click Count,c37agree,c37time_First Click,c37time_Last Click,c37time_Page Submit,c37time_Click Count,c38agree,c38time_First Click,c38time_Last Click,c38time_Page Submit,c38time_Click Count,c39agree,c39time_First Click,c39time_Last Click,c39time_Page Submit,c39time_Click Count,c40agree,c40time_First Click,c40time_Last Click,c40time_Page Submit,c40time_Click Count,c41agree,c41time_First Click,c41time_Last Click,c41time_Page Submit,c41time_Click Count,c42agree,c42time_First Click,c42time_Last Click,c42time_Page Submit,c42time_Click Count,c43agree,c43time_First Click,c43time_Last Click,c43time_Page Submit,c43time_Click Count,c44agree,c44time_First Click,c44time_Last Click,c44time_Page Submit,c44time_Click Count,c45agree,c45time_First Click,c45time_Last Click,c45time_Page Submit,c45time_Click Count,c46agree,c46time_First Click,c46time_Last Click,c46time_Page Submit,c46time_Click Count,groupID,ageID,raceID,genderID,polID,polDemoTime_First Click,polDemoTime_Last Click,polDemoTime_Page Submit,polDemoTime_Click Count
272,Chrome,73.0.3683.103,Macintosh,4.843,2,,,,,,,,,,,,,,,,Not yet decided,1.106,1.106,2.608,1,,,,,,Somewhat disagree,0.464,0.464,1.697,1,Somewhat agree,0.674,0.674,1.952,1,Not yet decided,1.051,1.051,2.317,1,Somewhat disagree,0.415,0.415,1.749,1,Disagree,0.769,0.769,2.72,1,Somewhat disagree,0.722,0.722,2.381,1,Somewhat agree,0.91,2.44,3.549,2,Somewhat disagree,1.459,1.459,3.005,1,,,,,,,,,,,Not yet decided,35.776,35.776,37.144,1,,,,,,Somewhat disagree,0.823,0.823,1.762,1,Not yet decided,0.844,0.844,2.21,1,Somewhat disagree,0.618,0.618,2.356,1,,,,,,Not yet decided,0.63,0.63,1.896,1,Somewhat disagree,0.791,0.791,2.562,1,Somewhat disagree,1.113,1.113,2.558,1,,,,,,Strongly disagree,1.394,3.329,4.258,2,,,,,,,,,,,,,,,,Somewhat disagree,0.861,0.861,2.172,1,Somewhat disagree,0.412,0.412,1.644,1,,,,,,,,,,,Strongly disagree,9.277,9.277,10.497,1,,,,,,,,,,,,,,,,,,,,,Disagree,1.087,1.087,2.477,1,Somewhat agree,0.771,0.771,2.239,1,Disagree,0.718,2.484,3.547,2,,,,,,,,,,,Not yet decided,0.996,0.996,2.34,1,Somewhat disagree,0.692,0.692,1.734,1,Somewhat agree,0.649,3.248,6.146,2,Not yet decided,1.37,1.37,2.939,1,Somewhat disagree,1.386,1.386,3.462,1,Not yet decided,1.819,1.819,3.906,1,Somewhat agree,0.84,0.84,2.117,1,,,,,,Not yet decided,1.266,1.266,2.532,1,Somewhat disagree,1.162,1.162,2.631,1,,,,,,,,,,,Agree,3.675,3.675,5.121,1,,,,,,Not yet decided,2.079,2.079,3.153,1,,,,,,Not yet decided,0.823,0.823,2.202,1,Not yet decided,0.654,0.654,1.662,1,Not yet decided,0.936,0.936,2.1,1,,,,,,Somewhat disagree,1.448,1.448,2.839,1,,,,,,Somewhat agree,2.059,2.059,3.246,1,,,,,,,,,,,Somewhat disagree,1.286,1.286,2.878,1,Somewhat agree,1.976,1.976,3.322,1,Not yet decided,1.786,1.786,3.648,1,,,,,,Somewhat disagree,0.902,0.902,2.427,1,,,,,,,,,,,Somewhat agree,1.844,1.844,3.65,1,Disagree,1.348,1.348,2.299,1,Somewhat disagree,1.275,1.86,3.306,2,,,,,,Somewhat disagree,1.719,1.719,2.714,1,,,,,,Somewhat disagree,1.635,1.635,4.386,1,Not yet decided,1.344,3.11,4.229,2,,,,,,Somewhat disagree,1.734,1.734,3.507,1,,,,,,,,,,,Agree,0.971,0.971,2.473,1,,,,,,,,,,,,,,,,,,,,,0,43,White,Male,Independent/Other/Neither,1.502,7.093,9.484,4
395,Firefox,66,Windows NT 6.1,7.633,3,,,,,,Disagree,3.24,3.24,4.148,1,Somewhat agree,4.029,4.029,5.038,1,Somewhat agree,5.003,5.003,6.03,1,Agree,3.538,3.538,4.476,1,Agree,3.301,3.301,4.068,1,,,,,,,,,,,Disagree,3.921,3.921,4.878,1,,,,,,,,,,,,,,,,Disagree,19.889,19.889,20.884,1,,,,,,Disagree,3.94,3.94,4.809,1,Somewhat agree,4.61,4.61,5.533,1,,,,,,,,,,,,,,,,,,,,,Strongly agree,6.181,6.181,7.248,1,,,,,,Agree,3.82,3.82,4.642,1,Strongly agree,3.876,3.876,4.718,1,Strongly agree,4.557,4.557,5.442,1,,,,,,Somewhat agree,7.116,7.116,8.118,1,Disagree,3.962,3.962,4.901,1,Agree,10.385,10.385,11.317,1,,,,,,,,,,,,,,,,Agree,4.61,4.61,5.632,1,,,,,,Strongly disagree,4.528,4.528,5.401,1,,,,,,Not yet decided,2.712,2.712,3.601,1,Strongly disagree,3.512,3.512,4.993,1,Strongly disagree,5.073,5.073,5.923,1,,,,,,Strongly agree,11.014,11.014,12.273,1,,,,,,Somewhat agree,4.632,4.632,6.424,1,Strongly disagree,5.98,5.98,6.858,1,Not yet decided,5.223,5.223,6.101,1,Somewhat agree,5.687,5.687,6.564,1,Strongly disagree,3.362,3.362,4.593,1,Disagree,2.101,2.101,2.941,1,Strongly agree,3.606,3.606,5,1,,,,,,Not yet decided,4.206,4.206,5.25,1,,,,,,Agree,2.913,2.913,3.887,1,,,,,,,,,,,Not yet decided,6.483,6.483,7.549,1,,,,,,Strongly disagree,4.092,4.092,4.97,1,Disagree,2.876,2.876,3.789,1,Disagree,2.369,2.369,3.198,1,,,,,,Disagree,8.58,8.58,9.843,1,,,,,,,,,,,Strongly disagree,3.261,3.261,4.264,1,Somewhat agree,3.672,3.672,4.582,1,Somewhat agree,3.538,3.538,4.352,1,,,,,,,,,,,,,,,,Agree,6.276,6.276,7.325,1,Disagree,5.108,5.108,5.969,1,Not yet decided,4.776,4.776,5.888,1,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,4.657,4.657,5.574,1,Not yet decided,9.245,10.717,11.819,2,Disagree,1.716,1.716,2.69,1,,,,,,,,,,,Strongly agree,2.298,2.298,3.286,1,Not yet decided,5.25,5.25,6.085,1,,,,,,,,,,,Disagree,3.751,3.751,4.694,1,,,,,,Agree,3.51,3.51,5.306,1,Agree,4.327,4.327,5.194,1,Agree,4.031,4.031,5.063,1,0,54,White,Male,Independent/Other/Neither,0.909,9.005,10.443,5
592,Chrome,73.0.3683.103,Windows NT 10.0,11.759,2,,,,,,Strongly agree,4.589,4.589,8.574,1,Strongly agree,7.3,7.3,9.091,1,Strongly agree,3.151,3.151,4.171,1,Strongly agree,3.468,3.468,4.388,1,Strongly agree,4.631,4.631,5.478,1,Strongly agree,23.912,23.912,25.209,1,,,,,,Not yet decided,6.163,6.163,7.128,1,,,,,,,,,,,Strongly disagree,10.567,10.567,11.775,1,Somewhat agree,7.34,9.118,9.957,2,,,,,,,,,,,,,,,,Disagree,3.695,3.695,4.58,1,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,7.344,7.344,8.687,1,,,,,,Agree,8.741,8.741,9.999,1,Strongly agree,5.068,10.776,11.894,3,,,,,,Strongly disagree,6.959,6.959,8.036,1,,,,,,Disagree,8.365,8.365,9.242,1,,,,,,Somewhat agree,5.359,5.359,6.423,1,,,,,,Somewhat agree,6.947,6.947,8.026,1,Strongly agree,7.54,7.54,8.588,1,,,,,,,,,,,Strongly disagree,3.601,3.601,5.766,1,Not yet decided,7.796,7.796,8.912,1,Strongly disagree,4.387,4.387,5.337,1,,,,,,Not yet decided,3.966,3.966,4.981,1,Somewhat disagree,3.016,3.016,3.952,1,Strongly agree,5.347,5.347,6.386,1,Somewhat agree,4.26,4.26,5.256,1,Strongly agree,3.737,3.737,4.698,1,,,,,,,,,,,Not yet decided,2.561,2.561,3.488,1,,,,,,Strongly agree,3.562,3.562,4.581,1,Somewhat agree,21.724,21.724,22.572,1,,,,,,Not yet decided,2.439,2.439,3.219,1,Not yet decided,2.629,2.629,3.461,1,,,,,,Strongly agree,2.726,2.726,3.705,1,Agree,3.632,3.632,4.68,1,Somewhat agree,2.973,4.993,5.799,2,,,,,,,,,,,,,,,,Somewhat agree,11.287,11.287,12.24,1,,,,,,Strongly agree,2.6,2.6,3.765,1,,,,,,Strongly disagree,2.868,2.868,3.886,1,Strongly agree,2.559,2.559,3.465,1,,,,,,,,,,,,,,,,Strongly disagree,18.466,18.466,19.522,1,Not yet decided,5.526,5.526,6.351,1,Somewhat agree,5.425,6.201,6.679,2,Strongly agree,4.087,4.087,5.096,1,,,,,,,,,,,,,,,,Agree,5.201,5.201,6.194,1,,,,,,Strongly disagree,4.677,4.677,5.599,1,,,,,,,,,,,Agree,8.898,8.898,10.121,1,,,,,,Strongly disagree,4.555,4.555,5.583,1,Strongly agree,2.753,2.753,4.239,1,,,,,,Agree,8.674,8.674,9.645,1,Not yet decided,6.361,6.803,8.073,2,Not yet decided,7.952,7.952,8.704,1,Agree,10.269,10.269,11.32,1,0,42,White,Male,Independent/Other/Neither,0.983,8.443,10.357,4
566,Chrome,72.0.3626.122,CrOS x86_64 11316.165.0,13.26,3,,,,,,,,,,,Strongly agree,6.538,6.538,8.341,1,,,,,,,,,,,,,,,,Agree,8.332,11.317,13.355,2,Somewhat disagree,8.264,8.264,9.641,1,Somewhat agree,5.884,5.884,7.336,1,,,,,,,,,,,Not yet decided,7.814,7.814,9.328,1,Agree,6.317,6.317,7.971,1,Somewhat disagree,7.787,7.787,9.1,1,,,,,,Strongly agree,5.526,5.526,6.968,1,Disagree,5.288,5.288,6.738,1,Disagree,6.99,6.99,8.512,1,,,,,,Somewhat agree,10.142,10.142,11.819,1,,,,,,,,,,,Agree,10.369,10.369,12.377,1,,,,,,,,,,,,,,,,Somewhat agree,4.878,4.878,6.344,1,,,,,,,,,,,,,,,,Strongly agree,3.749,3.749,5.21,1,,,,,,Agree,5.731,7.879,8.946,2,Not yet decided,8.461,8.461,9.792,1,Somewhat agree,5.061,5.061,6.54,1,Somewhat agree,8.365,8.365,10.136,1,Somewhat agree,5.353,5.353,6.853,1,Agree,5.649,5.649,7.478,1,Somewhat disagree,9.136,9.136,10.9,1,Agree,4.291,4.291,5.748,1,Somewhat agree,5.079,6.28,7.91,2,,,,,,,,,,,Agree,4.654,4.654,6.148,1,Somewhat agree,11.094,11.094,12.667,1,Somewhat agree,7.538,7.538,9.826,1,,,,,,,,,,,,,,,,Agree,3.972,3.972,5.622,1,,,,,,,,,,,,,,,,Somewhat agree,4.581,4.581,6.534,1,Somewhat disagree,3.358,3.358,5.445,1,,,,,,Somewhat agree,6.432,6.432,11.62,1,,,,,,,,,,,,,,,,Somewhat agree,5.035,5.035,6.513,1,,,,,,Somewhat disagree,3.918,3.918,5.598,1,Disagree,5.732,5.732,8.433,1,Somewhat agree,3.697,3.697,5.284,1,Disagree,5.154,5.154,6.571,1,,,,,,Somewhat agree,5.56,5.56,7.971,1,Disagree,6.258,6.258,7.678,1,Somewhat agree,7.897,7.897,9.919,1,,,,,,,,,,,,,,,,Somewhat disagree,6.774,6.774,8.148,1,Strongly agree,6.068,6.068,7.532,1,Agree,8.337,8.337,12.967,1,Somewhat agree,7.216,7.216,9.421,1,Somewhat disagree,8.655,10.806,13.351,2,,,,,,,,,,,,,,,,Somewhat agree,5.518,5.518,6.98,1,Somewhat agree,5.918,5.918,7.245,1,,,,,,,,,,,Disagree,4.098,4.098,5.548,1,Disagree,17.664,17.664,19.364,1,Somewhat agree,8.574,8.574,12,1,Somewhat agree,7.427,7.427,9.166,1,Somewhat agree,11.68,11.68,12.9,1,,,,,,Somewhat agree,6.796,6.796,8.485,1,0,47,White,Male,Republican,2.275,13.872,15.601,5
393,Chrome,73.0.3683.86,Windows NT 10.0,4.433,2,,,,,,Disagree,2.684,4.741,5.54,3,,,,,,Agree,1.347,5.451,6.146,3,Strongly disagree,2.164,2.164,2.891,1,Agree,1.245,2.101,3.9,2,Not yet decided,6.46,6.46,7.228,1,,,,,,,,,,,Somewhat agree,1.666,5.954,6.697,3,,,,,,,,,,,Agree,3.319,9.15,9.381,3,,,,,,Agree,3.088,3.088,3.671,1,,,,,,Somewhat agree,3.328,4.552,10.599,3,Somewhat disagree,2.022,5.47,6.277,2,,,,,,Disagree,1.295,1.295,1.847,1,Not yet decided,4.04,4.92,5.944,2,,,,,,,,,,,Strongly agree,1.369,1.369,2.233,1,,,,,,Strongly agree,3.454,3.454,4.349,1,,,,,,Strongly disagree,1.946,2.73,3.577,2,Somewhat disagree,3.206,3.822,4.1,2,,,,,,Strongly disagree,0.857,1.537,2.264,3,Strongly agree,1.838,2.645,3.565,2,,,,,,,,,,,Not yet decided,6.452,6.452,7.243,1,Disagree,1.908,2.444,3.212,2,Agree,4.195,5.899,6.346,3,,,,,,,,,,,Somewhat agree,3.4,3.4,4.046,1,,,,,,,,,,,Not yet decided,1.531,1.531,2.194,1,Not yet decided,4.983,4.983,5.687,1,Somewhat agree,4.692,4.692,5.596,1,Somewhat agree,2.253,8.941,10.996,5,Somewhat disagree,2.483,3.603,5.339,2,Agree,4.89,10.331,10.625,3,,,,,,Strongly agree,4.546,10.522,11.417,3,Somewhat disagree,3.185,5.793,7.529,2,Somewhat agree,10.406,10.406,17.341,1,Somewhat agree,2.986,5.058,6.32,2,,,,,,Somewhat disagree,2.151,3.487,4.639,3,,,,,,Strongly agree,2.33,2.731,3.505,2,,,,,,Disagree,5.331,5.331,5.93,1,Somewhat agree,3.011,3.011,6.865,1,Agree,2.85,3.602,3.874,2,,,,,,Somewhat disagree,1.184,14.168,15.063,4,,,,,,,,,,,,,,,,Somewhat agree,3.205,3.782,4.524,2,Not yet decided,4.742,5.255,6.119,2,Not yet decided,3.962,6.113,7,4,,,,,,,,,,,,,,,,,,,,,Somewhat disagree,6.958,6.958,7.797,1,Strongly agree,4.13,4.778,5.233,2,Somewhat agree,6.189,11.597,14.06,3,,,,,,,,,,,,,,,,Somewhat agree,3.026,3.026,4.025,1,Agree,2.241,2.889,3.592,2,Strongly agree,1.941,2.549,2.884,2,Agree,2.235,2.235,3.002,1,Strongly agree,1.277,1.733,2.509,2,,,,,,,,,,,,,,,,,,,,,Disagree,5.43,5.43,6.158,1,,,,,,Somewhat disagree,3.42,4.364,6.306,2,,,,,,1,29,Black or African American,Female,Independent/Other/Neither,1.22,9.276,10.867,4
750,Firefox,66,Windows NT 6.1,23.439,5,,,,,,Strongly disagree,10.348,10.348,12.924,1,,,,,,Not yet decided,13.105,13.105,14.326,1,,,,,,Strongly agree,13.129,13.129,14.565,1,,,,,,,,,,,,,,,,Not yet decided,17.418,17.418,18.771,1,Disagree,5.37,5.37,6.825,1,,,,,,,,,,,Strongly agree,15.705,15.705,17.697,1,Agree,10.422,10.422,12.05,1,,,,,,Somewhat disagree,12.484,12.484,14.268,1,,,,,,Strongly disagree,7.573,7.573,8.999,1,,,,,,Not yet decided,11.376,11.376,12.742,1,Strongly agree,13.836,13.836,15.643,1,,,,,,Strongly agree,7.403,7.403,9.339,1,Strongly agree,23.752,23.752,25.504,1,Strongly agree,9.411,9.411,10.919,1,Disagree,11.117,11.117,12.479,1,Disagree,13.647,13.647,15.55,1,Strongly disagree,9.291,9.291,18.772,1,Strongly disagree,10.251,10.251,12.295,1,,,,,,Strongly agree,11.429,11.429,12.943,1,Strongly disagree,20.729,20.729,22.429,1,,,,,,Strongly agree,5.144,5.144,6.563,1,Disagree,7.468,7.468,9.021,1,Strongly disagree,16.265,16.265,18.45,1,Strongly disagree,13.138,13.138,14.513,1,,,,,,,,,,,,,,,,Not yet decided,16.339,16.339,17.712,1,,,,,,,,,,,,,,,,Somewhat agree,12.047,12.047,16.753,1,Disagree,2.671,2.671,4.935,1,Disagree,3.898,3.898,5.156,1,,,,,,Somewhat agree,6.747,6.747,8.035,1,,,,,,Agree,9.285,9.285,10.872,1,,,,,,Not yet decided,6.77,6.77,8.273,1,Not yet decided,12.695,12.695,14.13,1,Not yet decided,4.376,4.376,5.834,1,,,,,,,,,,,Somewhat disagree,5.546,5.546,6.91,1,Disagree,8.195,8.195,9.877,1,Agree,10.637,10.637,11.912,1,Not yet decided,11.391,11.391,12.706,1,,,,,,Somewhat disagree,7.887,7.887,9.293,1,,,,,,,,,,,,,,,,,,,,,,,,,,Not yet decided,9.693,9.693,11.279,1,Not yet decided,8.57,8.57,10.823,1,Disagree,5.754,5.754,7.037,1,Disagree,12.745,12.745,14.413,1,,,,,,,,,,,,,,,,Strongly agree,3.961,3.961,5.525,1,Somewhat agree,6.095,6.095,8.056,1,Somewhat disagree,18.008,18.008,19.47,1,Disagree,5.502,5.502,7.064,1,Disagree,5.525,5.525,6.841,1,,,,,,,,,,,,,,,,Disagree,6.567,6.567,7.954,1,Disagree,5.139,5.139,7.284,1,Strongly disagree,25.351,25.351,26.663,1,,,,,,,,,,,,,,,,Not yet decided,5.063,5.063,7.19,1,,,,,,0,54,White,Male,Independent/Other/Neither,4.352,15.989,17.423,4
358,Chrome,73.0.3683.103,Windows NT 10.0,5.496,2,,,,,,Strongly disagree,3.346,3.346,4.161,1,,,,,,,,,,,Disagree,2.917,2.917,4.243,1,Not yet decided,5.594,5.594,6.49,1,Disagree,11.849,11.849,12.935,1,Strongly disagree,6.84,6.84,7.535,1,,,,,,,,,,,Strongly disagree,1.654,1.654,2.508,1,Strongly agree,3.971,3.971,4.954,1,,,,,,,,,,,Agree,2.976,2.976,3.757,1,,,,,,Strongly agree,2.821,2.821,4.076,1,,,,,,,,,,,,,,,,Somewhat disagree,4.54,4.54,5.762,1,,,,,,,,,,,Not yet decided,6.375,6.375,7.694,1,Somewhat disagree,4.775,5.934,6.669,2,Disagree,5.514,5.514,6.528,1,,,,,,Somewhat agree,4.914,5.682,6.6,2,,,,,,Disagree,4.411,4.411,5.331,1,Strongly disagree,6.045,6.045,6.868,1,,,,,,Strongly disagree,5.325,7.597,8.356,3,,,,,,Somewhat agree,5.155,5.155,6.242,1,Somewhat disagree,2.872,4.112,4.919,2,,,,,,Somewhat agree,3.6,3.6,4.359,1,Somewhat disagree,4.617,4.617,5.985,1,Strongly disagree,4.346,4.346,5.521,1,,,,,,Strongly disagree,5.746,6.386,7.128,2,Strongly disagree,3.298,3.298,4.248,1,Strongly disagree,3.919,3.919,4.924,1,,,,,,Somewhat agree,6.658,6.658,8.576,1,,,,,,,,,,,,,,,,Somewhat agree,2.547,2.547,3.329,1,,,,,,Agree,3.944,3.944,4.991,1,Somewhat agree,2.265,2.265,3.009,1,Somewhat agree,2.021,2.021,2.939,1,,,,,,Not yet decided,2.123,2.123,3.193,1,Agree,2.276,2.276,3.147,1,,,,,,Not yet decided,3.08,3.7,4.144,2,Somewhat disagree,2.365,2.365,3.204,1,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,2.635,6.186,7.185,2,Disagree,3.317,3.317,4.284,1,,,,,,Somewhat agree,2.965,2.965,3.772,1,Agree,7.154,7.154,8.137,1,Somewhat disagree,5.538,5.538,6.391,1,Not yet decided,2.7,2.7,3.594,1,,,,,,Disagree,3.297,3.297,4.615,1,Agree,3.439,3.439,4.496,1,Somewhat disagree,4.894,4.894,6.348,1,Disagree,3.542,3.542,4.444,1,Disagree,4.778,4.778,5.537,1,Not yet decided,5.154,6.003,6.85,2,Not yet decided,1.625,1.625,2.511,1,,,,,,Strongly agree,3.107,3.107,4.144,1,Not yet decided,3.728,3.728,4.672,1,Not yet decided,2.197,2.197,3.13,1,,,,,,,,,,,,,,,,,,,,,Agree,4.018,4.018,4.976,1,,,,,,,,,,,,,,,,0,47,White,Male,Independent/Other/Neither,0.81,7.121,8.296,5
